tag_a,tag_b,count
1girl,solo,3816210.0
1girl,long_hair,2801554.0
1girl,breasts,2698892.0
1girl,looking_at_viewer,2491351.0
long_hair,solo,2242342.0
looking_at_viewer,solo,2214758.0
breasts,solo,2063967.0
1girl,blush,2025924.0
breasts,long_hair,1958684.0
long_hair,looking_at_viewer,1754757.0
1girl,smile,1700205.0
breasts,looking_at_viewer,1686943.0
blush,breasts,1521808.0
blush,long_hair,1521165.0
blush,solo,1520112.0
breasts,large_breasts,1471472.0
smile,solo,1406706.0
long_hair,smile,1376160.0
1girl,open_mouth,1370242.0
blush,looking_at_viewer,1305888.0
looking_at_viewer,smile,1290957.0
1girl,simple_background,1249446.0
1girl,large_breasts,1248573.0
breasts,smile,1163944.0
long_hair,open_mouth,1124109.0
simple_background,solo,1107641.0
1girl,short_hair,1077469.0
1girl,shirt,1063676.0
1girl,white_background,1046334.0
1girl,blue_eyes,1032543.0
blush,smile,1006756.0
blush,open_mouth,999162.0
open_mouth,solo,998649.0
breasts,open_mouth,987537.0
simple_background,white_background,982029.0
1girl,skirt,971560.0
large_breasts,long_hair,957300.0
large_breasts,solo,948859.0
1girl,long_sleeves,942697.0
breasts,cleavage,929898.0
open_mouth,smile,924562.0
solo,white_background,922085.0
1girl,hair_ornament,919325.0
looking_at_viewer,open_mouth,896297.0
1girl,navel,894414.0
long_hair,simple_background,866894.0
shirt,solo,859988.0
looking_at_viewer,simple_background,853129.0
breasts,navel,850086.0
blue_eyes,long_hair,849466.0
short_hair,solo,842843.0
blue_eyes,solo,838359.0
long_hair,very_long_hair,836973.0
1girl,gloves,830995.0
long_hair,shirt,810640.0
1girl,dress,805673.0
1girl,hair_between_eyes,803921.0
breasts,medium_breasts,803763.0
1girl,black_hair,801463.0
1girl,holding,799346.0
large_breasts,looking_at_viewer,798944.0
1girl,thighhighs,797578.0
1girl,blonde_hair,792285.0
skirt,solo,791456.0
long_sleeves,solo,790129.0
1girl,cleavage,788916.0
1girl,brown_hair,782555.0
1girl,animal_ears,767752.0
2girls,multiple_girls,766897.0
1girl,red_eyes,766277.0
long_hair,skirt,764903.0
long_hair,long_sleeves,758641.0
hair_ornament,long_hair,756611.0
1girl,closed_mouth,751431.0
1girl,bare_shoulders,751170.0
breasts,simple_background,746460.0
blush,large_breasts,735609.0
long_hair,white_background,733885.0
hair_ornament,solo,733608.0
blue_eyes,breasts,730639.0
1girl,original,728027.0
long_hair,multiple_girls,727079.0
blonde_hair,long_hair,724658.0
shirt,white_shirt,715876.0
looking_at_viewer,shirt,712234.0
looking_at_viewer,white_background,710800.0
1girl,bow,706980.0
navel,solo,704933.0
black_hair,long_hair,701178.0
blue_eyes,looking_at_viewer,695196.0
breasts,short_hair,691399.0
1girl,very_long_hair,686300.0
holding,solo,678364.0
hair_between_eyes,solo,677099.0
gloves,solo,673060.0
long_sleeves,looking_at_viewer,672477.0
hair_between_eyes,long_hair,671908.0
gloves,long_hair,667978.0
looking_at_viewer,short_hair,667651.0
cleavage,solo,664870.0
dress,long_hair,661831.0
1girl,medium_breasts,659414.0
1girl,jewelry,656813.0
long_hair,navel,654381.0
dress,solo,652358.0
1girl,ribbon,651754.0
bare_shoulders,breasts,651132.0
closed_mouth,solo,648814.0
breasts,hair_ornament,644373.0
blush,short_hair,641323.0
breasts,nipples,639822.0
solo,thighhighs,639580.0
red_eyes,solo,638699.0
hair_ornament,looking_at_viewer,638116.0
brown_hair,long_hair,637671.0
blush,simple_background,634965.0
bare_shoulders,solo,632662.0
animal_ears,solo,630008.0
holding,long_hair,625523.0
long_hair,thighhighs,625166.0
hair_between_eyes,looking_at_viewer,624534.0
short_hair,smile,622303.0
breasts,white_background,621314.0
blonde_hair,solo,619916.0
long_hair,red_eyes,615792.0
cleavage,long_hair,614893.0
1girl,hat,614851.0
black_hair,solo,612542.0
1girl,collarbone,610034.0
1girl,sitting,609155.0
shirt,skirt,604384.0
breasts,thighhighs,603760.0
bare_shoulders,long_hair,602941.0
breasts,gloves,601164.0
brown_hair,solo,600018.0
looking_at_viewer,skirt,599804.0
blush,shirt,598243.0
1girl,nipples,597722.0
1girl,underwear,596927.0
closed_mouth,long_hair,596205.0
bow,long_hair,594168.0
original,solo,593197.0
shirt,smile,590259.0
bow,solo,589893.0
closed_mouth,looking_at_viewer,589081.0
1girl,standing,586180.0
looking_at_viewer,navel,585956.0
1boy,1girl,585275.0
solo,very_long_hair,584557.0
breasts,shirt,583855.0
blue_eyes,blush,582968.0
panties,underwear,581788.0
animal_ears,long_hair,581466.0
simple_background,smile,575031.0
blonde_hair,breasts,573900.0
breasts,hair_between_eyes,573140.0
black_hair,breasts,568446.0
blush,hair_ornament,562247.0
large_breasts,smile,557684.0
cleavage,looking_at_viewer,555965.0
blue_eyes,smile,554391.0
breasts,collarbone,552956.0
blush,navel,552521.0
bare_shoulders,looking_at_viewer,551674.0
long_hair,ribbon,550119.0
open_mouth,short_hair,549709.0
holding,looking_at_viewer,545276.0
ribbon,solo,544284.0
animal_ears,breasts,542222.0
blush,white_background,540617.0
breasts,brown_hair,538683.0
1girl,white_shirt,536421.0
1girl,full_body,535260.0
jewelry,solo,534998.0
medium_breasts,solo,534876.0
gloves,looking_at_viewer,532881.0
long_sleeves,smile,532203.0
breasts,red_eyes,530225.0
1girl,twintails,530196.0
cleavage,large_breasts,530157.0
jewelry,long_hair,529249.0
blush,long_sleeves,527957.0
blush,skirt,527771.0
long_hair,twintails,526795.0
looking_at_viewer,red_eyes,525859.0
skirt,smile,518450.0
1girl,jacket,517932.0
1girl,tail,513872.0
black_hair,looking_at_viewer,513762.0
dress,looking_at_viewer,511779.0
